선거구코드,시구군코드,시구군,시도,기호,정당,후보명,1위,17년 유권자평균연령,유권자평균교육연수,17년제곱미터당가격,평균 보험료,후보별 득표율,후보별 득표수
2615,26500,부산 수영구,부산,4,바른정당,유승민,문재인,49.0 ,13.05628061,421.5541619,92866,7.08,8414
2615,26500,부산 수영구,부산,5,정의당,심상정,문재인,49.0 ,13.05628061,421.5541619,92866,5.01,5952
2616,26530,부산 사상구,부산,1,더불어민주당,문재인,문재인,47.7 ,11.97892427,273.663073,80893,41.38,61743
2616,26530,부산 사상구,부산,2,새누리당,홍준표,문재인,47.7 ,11.97892427,273.663073,80893,31.19,46540
2616,26530,부산 사상구,부산,3,국민의당,안철수,문재인,47.7 ,11.97892427,273.663073,80893,15.43,23023
2616,26530,부산 사상구,부산,4,바른정당,유승민,문재인,47.7 ,11.97892427,273.663073,80893,6.76,10096
2616,26530,부산 사상구,부산,5,정의당,심상정,문재인,47.7 ,11.97892427,273.663073,80893,4.79,7156
2701,27110,대구 중구,대구,1,더불어민주당,문재인,홍준표,49.4 ,12.67868062,348.6221615,86640,22.09,11477
2701,27110,대구 중구,대구,2,새누리당,홍준표,홍준표,49.4 ,12.67868062,348.6221615,86640,47.54,24698
2701,27110,대구 중구,대구,3,국민의당,안철수,홍준표,49.4 ,12.67868062,348.6221615,86640,13.8,7170
2701,27110,대구 중구,대구,4,바른정당,유승민,홍준표,49.4 ,12.67868062,348.6221615,86640,11.41,5931
2701,27110,대구 중구,대구,5,정의당,심상정,홍준표,49.4 ,12.67868062,348.6221615,86640,4.56,2369
2702,27140,대구 동구,대구,1,더불어민주당,문재인,홍준표,48.7 ,12.23305632,286.6514555,81169,20.99,47350
2702,27140,대구 동구,대구,2,새누리당,홍준표,홍준표,48.7 ,12.23305632,286.6514555,81169,44.41,100166
2702,27140,대구 동구,대구,3,국민의당,안철수,홍준표,48.7 ,12.23305632,286.6514555,81169,13.9,31351
2702,27140,대구 동구,대구,4,바른정당,유승민,홍준표,48.7 ,12.23305632,286.6514555,81169,15.88,35819
2702,27140,대구 동구,대구,5,정의당,심상정,홍준표,48.7 ,12.23305632,286.6514555,81169,4.21,9509
2703,27170,대구 서구,대구,1,더불어민주당,문재인,홍준표,49.3 ,11.29763008,240.2769569,68979,17.32,22004
2703,27170,대구 서구,대구,2,새누리당,홍준표,홍준표,49.3 ,11.29763008,240.2769569,68979,54.15,68782
2703,27170,대구 서구,대구,3,국민의당,안철수,홍준표,49.3 ,11.29763008,240.2769569,68979,14.02,17808
2703,27170,대구 서구,대구,4,바른정당,유승민,홍준표,49.3 ,11.29763008,240.2769569,68979,9.65,12259
2703,27170,대구 서구,대구,5,정의당,심상정,홍준표,49.3 ,11.29763008,240.2769569,68979,4.23,5373
2704,27200,대구 남구,대구,1,더불어민주당,문재인,홍준표,49.9 ,12.16279729,265.068889,72878,19.94,19862
2704,27200,대구 남구,대구,2,새누리당,홍준표,홍준표,49.9 ,12.16279729,265.068889,72878,50.51,50304
2704,27200,대구 남구,대구,3,국민의당,안철수,홍준표,49.9 ,12.16279729,265.068889,72878,14.03,13978
2704,27200,대구 남구,대구,4,바른정당,유승민,홍준표,49.9 ,12.16279729,265.068889,72878,10.4,10365
2704,27200,대구 남구,대구,5,정의당,심상정,홍준표,49.9 ,12.16279729,265.068889,72878,4.5,4486
2705,27230,대구 북구,대구,1,더불어민주당,문재인,홍준표,46.6 ,12.61032203,282.7554919,87788,22.69,62526
